0,0,95,5625,5747,3,560,1900,12;
1,0,85,11375,14190,6,480,2000,13;
2,0,75,16000,20130,9,620,2300,14;
3,0,50,18000,19248,15,2500,2500,35;
4,0,15,26000,29123,22,3400,3400,26;
5,0,5,40000,41308,35,5600,4600,30;
6,0,30,23000,30580,10,510,2000,8;
7,0,15,27000,33415,14,370,2400,9;
8,0,5,34000,35985,18,400,2200,10;
9,0,20,38000,39957,16,600,1500,13;
10,0,10,42000,51174,20,400,2000,14;
11,0,1,54000,59893,25,510,2500,15;
12,1,40,14375,17978,20,4300,4300,5;
13,1,30,36875,38698,30,4000,4000,9;
14,1,10,62500,71177,50,6800,6800,12;
15,2,90,5938,6868,12,0,4000,6;
16,2,20,31250,36448,9,40,4000,10;
17,2,5,68750,83312,7,70,4000,14;
18,3,90,9375,11477,100,0,20000,0;
19,3,40,15750,18173,175,0,18400,0;
20,3,20,56250,60266,220,1150,16800,0;
21,3,5,93750,105849,310,650,15000,0;
22,4,90,9375,9535,100,25000,0,0;
23,4,40,15750,19732,155,26800,0,0;
24,4,20,56250,71747,195,28400,0,0;
25,4,5,93750,119750,270,30000,0,0;
26,5,40,11625,13378,30,0,0,0;
27,5,25,26500,30843,50,0,0,0;
28,5,10,45000,53397,80,0,0,0;
29,6,60,15000,19413,30,0,0,0;
30,6,20,45000,54813,60,0,0,0;
31,6,5,90000,116416,130,0,0,0;
32,7,60,15625,16814,15,0,0,0;
33,7,20,46875,47839,26,0,0,0;
34,7,5,87000,112275,56,0,0,0;
35,8,85,6250,6397,1,0,0,0;
36,8,30,18500,23389,2,0,0,0;
37,8,30,18750,21907,3,0,0,0;
38,8,5,39560,48290,4,0,0,0;
39,9,90,12300,14290,4,3000,20000,0;
40,9,20,29000,31434,5,4100,16300,0;
41,9,5,41500,42020,6,5200,14500,0;
42,0,0,0,0,40,930,1500,16;
43,10,30,27000,33370,0,0,0,0;
